placeId,name,address,latitude,longitude,description
ChIJURVdSwdZwokRJYgp_DdUpvk,Langdon Title,"132 W 36th St. Suite 500, New York, NY 10018, USA",40.7516636,-73.98845639999999,No description available.
ChIJXcUIHylZwokRitpVUpEPoUs,Foreigner NYC,"64 W 21st St, New York, NY 10010, USA",40.7413027,-73.9934364,No description available.
ChIJb4D8-4tZwokRYyIdb_ruNDY,Original BTC - New York,"56 Greene St, New York, NY 10013, USA",40.7227375,-74.00103469999999,No description available.
ChIJbygIK-JhwokRgLf883QH3II,Modoo Chicken and Noodle Bar,"216-17 Northern Blvd, Bayside, NY 11361, USA",40.761159,-73.7650851,"Easygoing, casual outlet serving Korean cuisine such a ramen noodles plus chicken katsu & rice."
ChIJW1ki7YliwokR6jHOZKo-x_I,Miraj Healthy Grill,"120 E 34th St, New York, NY 10016, USA",40.7463656,-73.9803215,No-frills restaurant with wood paneling & traditional music featuring a Persian-Mediterranean menu.
ChIJkRG8BApbwokR9VHucGMVvR8,TUMBAO,"20 Orchard St, New York, NY 10002, USA",40.715263799999995,-73.991428,No description available.
ChIJ09ZGju5YwokRXOcNC23JRwk,Daniel,"60 E 65th St, New York, NY 10065, USA",40.7668083,-73.9675769,Daniel Boulud's renowned restaurant with refined European dishes & an acclaimed wine selection in elegant surrounds.
ChIJt5dIF-lZwokRZzogeAzB3EU,Cafe MSMN,"150 Bayard St Store 1, Brooklyn, NY 11222, USA",40.7199334,-73.94602859999999,No description available.
ChIJG8Mc_oFZwokRYk2OAgdC2Ho,Georgie’s Cafe & Bar,"182 Broome St 2nd Fl, New York, NY 10002, USA",40.7170738,-73.98642099999999,No description available.
ChIJAXoJdQBZwokRmc14ZZhY1l8,Sky Pavilion 川雲涧,"325 W 42nd St, New York, NY 10036, USA",40.758009699999995,-73.9908378,No description available.
ChIJh2cqMDNZwokRqMMqNP9srxI,Restaurant Yuu,"55 Nassau Ave #1A, Brooklyn, NY 11222, USA",40.723456,-73.9524875,No description available.
ChIJiWmIvJFZwokRVdr0ZDWdHu4,The Uncommons,"230 Thompson St, New York, NY 10012, USA",40.7294104,-73.9987065,"Cafe with a vast board game library, WiFi, coffee & a seasonal menu of sandwiches & light eats."
