Title,Note,URL,Comment
Modoo Korean Restaurant,,https://www.google.com/maps/place/Modoo+Korean+Restaurant/data=!4m2!3m1!1s0x549005893ae1ed23:0x4dfbdeedf48f8951,
Storyville Coffee Pike Place,,https://www.google.com/maps/place/Storyville+Coffee+Pike+Place/data=!4m2!3m1!1s0x54906ab2f0c61d05:0x771b2a7dce963d58,
Shinya Shokudo,,https://www.google.com/maps/place/Shinya+Shokudo/data=!4m2!3m1!1s0x549015dbf4ced5fb:0x6e62637992eced33,
Askatu Bakery,,https://www.google.com/maps/place/Askatu+Bakery/data=!4m2!3m1!1s0x5490154ee428cb79:0xab1e106eb514f14,
Vinason Pho Kitchen - South Lake Union Seattle,,https://www.google.com/maps/place/Vinason+Pho+Kitchen+-+South+Lake+Union+Seattle/data=!4m2!3m1!1s0x5490154a1ff82aaf:0x43649c871adc3fdc,
Atulea,,https://www.google.com/maps/place/Atulea/data=!4m2!3m1!1s0x54906bd1e46e3539:0xdcc2888fcd560bbc,
Sizzle&Crunch SLU,,https://www.google.com/maps/place/Sizzle%26Crunch+SLU/data=!4m2!3m1!1s0x549015209c25ae47:0xac4ed66ea4c062a8,
La Parisienne French Bakery,,https://www.google.com/maps/place/La+Parisienne+French+Bakery/data=!4m2!3m1!1s0x5490154edd27ff31:0x80956d9d62987237,
Fulcrum Café,,https://www.google.com/maps/place/Fulcrum+Caf%C3%A9/data=!4m2!3m1!1s0x5490153175294685:0x2626e323cfc473c9,
