Title,Note,URL,Comment
Han Bat Seol Lung Tang,,https://www.google.com/maps/place/Han+Bat+Seol+Lung+Tang/data=!4m2!3m1!1s0x80c2b89a41b5afa3:0x750d7510dcc3b37a,
Majordomo,,https://www.google.com/maps/place/Majordomo/data=!4m2!3m1!1s0x80c2c6611b681927:0x29fe8bed454c7cae,
Girl & the Goat Los Angeles,,https://www.google.com/maps/place/Girl+%26+the+Goat+Los+Angeles/data=!4m2!3m1!1s0x80c2c757501d5a5d:0x7652aeb4ecd9ad7b,
Bestia,,https://www.google.com/maps/place/Bestia/data=!4m2!3m1!1s0x80c2c621d7d91b49:0x5e3e80cfbddfba70,
Antico Nuovo,,https://www.google.com/maps/place/Antico+Nuovo/data=!4m2!3m1!1s0x80c2b9403e6a4807:0x268983050babaf42,
